srch_id,prop_id,score
30118,18127,0
30118,18388,0
30118,53044,0
30118,100351,0
30118,127977,0
30118,138375,0
30119,11521,0
30119,12425,0
30119,13317,0
30119,16830,0
30119,32452,0
30119,33687,0
30119,34066,0
30119,35114,0
30119,36771,0
30119,52622,0
30119,54705,0
30119,59858,0
30119,67080,0
30119,67308,0
30119,68994,0
30119,88084,0
30119,88226,0
30119,95577,0
30119,96005,0
30119,96091,0
30119,101743,0
30119,103635,0
30119,110302,0
30119,112685,0
30119,115168,0
30119,120541,0
30119,121238,0
30119,121785,0
30119,131363,0
30119,134910,0
30119,135348,0
30119,136163,0
30119,139250,0
30119,139976,0
30120,2091,0
30120,6809,0
30120,8243,0
30120,12224,0
30120,13777,0
30120,26190,0
30120,26357,0
30120,32788,0
30120,33083,0
30120,37088,0
30120,43264,0
30120,53620,0
30120,61015,0
30120,63562,0
30120,67792,0
30120,69107,0
30120,72476,0
30120,75433,0
30120,80930,0
30120,81767,0
30120,88386,0
30120,98723,0
30120,99326,0
30120,100892,0
30120,105251,0
30120,109958,0
30120,110977,0
30120,116435,0
30120,119942,0
30120,123948,0
30120,130102,0
30120,131608,0
30120,139764,0
30121,5847,0
30121,13120,0
30121,18431,0
30121,25566,0
30121,29953,0
30121,34873,0
30121,40380,0
30121,40442,0
30121,47130,0
30121,65146,0
30121,67813,0
30121,69688,0
30121,76087,0
30121,82394,0
30121,92256,0
30121,95512,0
30121,108963,0
30121,137624,0
30121,140436,0
30122,19823,0
30122,26006,0
30122,44323,0
30122,47614,0
30122,69364,0
30122,72980,0
30122,79395,0
30122,93406,0
30122,98783,0
30122,100874,0
30122,114364,0
30122,132305,0
30123,14093,0
30123,24209,0
30123,26152,0
30123,28232,0
30123,29998,0
30123,34729,0
30123,36987,0
30123,37015,0
30123,38669,0
30123,50975,0
30123,55142,0
30123,61101,0
30123,75798,0
30123,77141,0
30123,77960,0
30123,80392,0
30123,90039,0
30123,97636,0
30123,100483,0
30123,104577,0
30123,111460,0
30123,120097,0
30123,122019,0
30123,123421,0
30123,127296,0
30123,132601,0
30123,135171,0
30123,135890,0
30123,140451,0
30124,2414,0
30124,12843,0
30124,18066,0
30124,28161,0
30124,45642,0
30124,46055,0
30124,50550,0
30124,109452,0
30124,121753,0
30126,1277,0
30126,14389,0
30126,16866,0
30126,17213,0
30126,17327,0
30126,22940,0
30126,25874,0
30126,32243,0
30126,32625,0
30126,33912,0
30126,34635,0
30126,38444,0
30126,38795,0
30126,40649,0
30126,43423,0
30126,46056,0
30126,50890,0
30126,53695,0
30126,63457,0
30126,67974,0
30126,70568,0
30126,80767,0
30126,80874,0
30126,83026,0
30126,94956,0
30126,100384,0
30126,107316,0
30126,109734,0
30126,115770,0
30126,117463,0
30126,140130,0
30127,9222,0
30127,9775,0
30127,11429,0
30127,12915,0
30127,14437,0
30127,14770,0
30127,18280,0
30127,22541,0
30127,24050,0
30127,24096,0
30127,27619,0
30127,35495,0
30127,43228,0
30127,43757,0
30127,44798,0
30127,51517,0
30127,51899,0
30127,52839,0
30127,58555,0
30127,66380,0
30127,67144,0
30127,68153,0
30127,72106,0
30127,74580,0
30127,84955,0
30127,85001,0
30127,87622,0
30127,93609,0
30127,93795,0
30127,96104,0
30127,97689,0
30127,119508,0
30127,122659,0
30129,40725,0
30129,55734,0
30129,93695,0
30129,104966,0
30129,109921,0
30129,114110,0
30129,126684,0
30132,1694,0
30132,8287,0
30132,12624,0
30132,17139,0
30132,18710,0
30132,20249,0
30132,23277,0
30132,24064,0
30132,35863,0
30132,37600,0
30132,41129,0
30132,42294,0
30132,49893,0
30132,50789,0
30132,57459,0
30132,60726,0
30132,67434,0
30132,71417,0
30132,75477,0
30132,90817,0
30132,108314,0
30132,118631,0
30132,119277,0
30132,121157,0
30132,122472,0
30132,122604,0
30132,123594,0
30132,133922,0
30133,4287,0
30133,4670,0
30133,32068,0
30133,32576,0
30133,32867,0
30133,40750,0
30133,62869,0
30133,63135,0
30133,72782,0
30133,77594,0
30133,81821,0
30133,87307,0
30133,95549,0
30133,98207,0
30133,99221,0
30133,108793,0
30133,109727,0
30133,115214,0
30133,116710,0
30133,117876,0
30133,118893,0
30133,124366,0
30133,130089,0
30133,134178,0
30133,135707,0
30133,138018,0
30134,7264,0
30134,9775,0
30134,12915,0
30134,14437,0
30134,14770,0
30134,18280,0
30134,24050,0
30134,24096,0
30134,34304,0
30134,35495,0
30134,43228,0
30134,43757,0
30134,51899,0
30134,52839,0
30134,58555,0
30134,67144,0
30134,68153,0
30134,72106,0
30134,74580,0
30134,84955,0
30134,93609,0
30134,96104,0
30134,97689,0
30134,103812,0
30134,119508,0
30134,122659,0
30135,995,0
30135,1091,0
30135,4554,0
30135,21503,0
30135,27975,0
30135,33048,0
30135,43985,0
30135,45633,0
30135,46000,0
30135,60759,0
30135,63015,0
30135,69627,0
30135,114070,0
30135,120806,0
30135,123243,0
30135,125916,0
30135,127891,0
30136,3625,0
30136,11622,0
30136,11826,0
30136,17817,0
30136,22824,0
30136,37581,0
30136,39993,0
30136,46162,0
30136,49152,0
30136,56063,0
30136,64344,0
30136,65984,0
30136,71258,0
30136,75491,0
30136,81172,0
30136,83045,0
30136,83430,0
30136,83806,0
30136,85567,0
30136,85742,0
30136,89119,0
30136,97099,0
30136,109185,0
30136,110813,0
30136,116696,0
30136,125069,0
30136,127808,0
30136,129278,0
30136,130729,0
30136,134162,0
30136,137826,0
30136,139893,0
30139,6375,0
30139,7056,0
30139,10636,0
30139,11640,0
30139,20737,0
30139,33353,0
30139,36202,0
30139,39505,0
30139,42574,0
30139,43625,0
30139,49341,0
30139,62649,0
30139,67173,0
30139,69423,0
30139,78034,0
30139,84960,0
30139,94032,0
30139,94068,0
30139,94465,0
30139,102610,0
30139,107280,0
30139,107535,0
30139,112408,0
30139,121775,0
30139,129759,0
30139,135426,0
30139,136598,0
30140,5979,0
30140,6969,0
30140,13358,0
30140,15518,0
30140,16764,0
30140,17126,0
30140,23372,0
30140,38193,0
30140,49783,0
30140,52571,0
30140,58887,0
30140,60510,0
30140,61102,0
30140,65508,0
30140,68960,0
30140,70933,0
30140,85222,0
30140,88748,0
30140,105546,0
30140,112316,0
30140,115368,0
30140,127474,0
30140,128495,0
30140,131136,0
30140,135212,0
30140,137231,0
30142,12407,0
30142,17179,0
30142,26036,0
30142,28204,0
30142,28216,0
30142,37317,0
30142,37544,0
30142,40756,0
30142,44129,0
30142,47747,0
30142,50029,0
30142,50049,0
30142,52178,0
30142,70551,0
30142,72321,0
30142,79501,0
30142,79847,0
30142,83092,0
30142,89722,0
30142,97664,0
30142,99474,0
30142,103367,0
30142,104836,0
30142,105448,0
30142,112983,0
30142,113385,0
30142,115845,0
30142,116003,0
30142,127459,0
30142,127886,0
30142,136882,0
30143,525,0
30143,2596,0
30143,10665,0
30143,15163,0
30143,18432,0
30143,27033,0
30143,27787,0
30143,32208,0
30143,40766,0
30143,51936,0
30143,66919,0
30143,67358,0
30143,114314,0
30143,116212,0
30143,117994,0
30143,132150,0
30143,134346,0
30143,138415,0
30144,3538,0
30144,20781,0
30144,23020,0
30144,28837,0
30144,29141,0
30144,31727,0
30144,36781,0
30144,52253,0
30144,52791,0
30144,61358,0
30144,62808,0
30144,70084,0
30144,72279,0
30144,78070,0
30144,78608,0
30144,80459,0
30144,82522,0
30144,83140,0
30144,87986,0
30144,88495,0
30144,89568,0
30144,90799,0
30144,92287,0
30144,93476,0
30144,107644,0
30144,117414,0
30144,121885,0
30144,133201,0
30144,136634,0
30144,139858,0
30145,38780,0
30145,41220,0
30145,42549,0
30145,48225,0
30145,52492,0
30145,80338,0
30145,108402,0
30145,109817,0
30145,111014,0
30145,111629,0
30146,2094,0
30146,5267,0
30146,5505,0
30146,10574,0
30146,13484,0
30146,14840,0
30146,14844,0
30146,15802,0
30146,16467,0
30146,16499,0
30146,17580,0
30146,36412,0
30146,42967,0
30146,44883,0
30146,46393,0
30146,47392,0
30146,47864,0
30146,51616,0
30146,52683,0
30146,53172,0
30146,53454,0
30146,56776,0
30146,71039,0
30146,79240,0
30146,90380,0
30146,115166,0
30146,119727,0
30146,121049,0
30146,123391,0
30146,125079,0
30146,126818,0
30146,131131,0
30146,137498,0
30146,139453,0
30147,4204,0
30147,4548,0
30147,58155,0
30147,96000,0
30147,105227,0
30147,105907,0
30147,131860,0
30147,132626,0
30148,3223,0
30148,5896,0
30148,26916,0
30148,27088,0
30148,42642,0
30148,46963,0
30148,48323,0
30148,129825,0
30150,10353,0
30150,10892,0
30150,16684,0
30150,20267,0
30150,25222,0
30150,25381,0
30150,27002,0
30150,30446,0
30150,31712,0
30150,32759,0
30150,37531,0
30150,46630,0
30150,47379,0
