srch_id,prop_id
30118,18127
30118,18388
30118,53044
30118,100351
30118,127977
30118,138375
30119,11521
30119,12425
30119,13317
30119,16830
30119,32452
30119,33687
30119,34066
30119,35114
30119,36771
30119,52622
30119,54705
30119,59858
30119,67080
30119,67308
30119,68994
30119,88084
30119,88226
30119,95577
30119,96005
30119,96091
30119,101743
30119,103635
30119,110302
30119,112685
30119,115168
30119,120541
30119,121238
30119,121785
30119,131363
30119,134910
30119,135348
30119,136163
30119,139250
30119,139976
30120,2091
30120,6809
30120,8243
30120,12224
30120,13777
30120,26190
30120,26357
30120,32788
30120,33083
30120,37088
30120,43264
30120,53620
30120,61015
30120,63562
30120,67792
30120,69107
30120,72476
30120,75433
30120,80930
30120,81767
30120,88386
30120,98723
30120,99326
30120,100892
30120,105251
30120,109958
30120,110977
30120,116435
30120,119942
30120,123948
30120,130102
30120,131608
30120,139764
30121,5847
30121,13120
30121,18431
30121,25566
30121,29953
30121,34873
30121,40380
30121,40442
30121,47130
30121,65146
30121,67813
30121,69688
30121,76087
30121,82394
30121,92256
30121,95512
30121,108963
30121,137624
30121,140436
30122,19823
30122,26006
30122,44323
30122,47614
30122,69364
30122,72980
30122,79395
30122,93406
30122,98783
30122,100874
30122,114364
30122,132305
30123,14093
30123,24209
30123,26152
30123,28232
30123,29998
30123,34729
30123,36987
30123,37015
30123,38669
30123,50975
30123,55142
30123,61101
30123,75798
30123,77141
30123,77960
30123,80392
30123,90039
30123,97636
30123,100483
30123,104577
30123,111460
30123,120097
30123,122019
30123,123421
30123,127296
30123,132601
30123,135171
30123,135890
30123,140451
30124,2414
30124,12843
30124,18066
30124,28161
30124,45642
30124,46055
30124,50550
30124,109452
30124,121753
30126,1277
30126,14389
30126,16866
30126,17213
30126,17327
30126,22940
30126,25874
30126,32243
30126,32625
30126,33912
30126,34635
30126,38444
30126,38795
30126,40649
30126,43423
30126,46056
30126,50890
30126,53695
30126,63457
30126,67974
30126,70568
30126,80767
30126,80874
30126,83026
30126,94956
30126,100384
30126,107316
30126,109734
30126,115770
30126,117463
30126,140130
30127,9222
30127,9775
30127,11429
30127,12915
30127,14437
30127,14770
30127,18280
30127,22541
30127,24050
30127,24096
30127,27619
30127,35495
30127,43228
30127,43757
30127,44798
30127,51517
30127,51899
30127,52839
30127,58555
30127,66380
30127,67144
30127,68153
30127,72106
30127,74580
30127,84955
30127,85001
30127,87622
30127,93609
30127,93795
30127,96104
30127,97689
30127,119508
30127,122659
30129,40725
30129,55734
30129,93695
30129,104966
30129,109921
30129,114110
30129,126684
30132,1694
30132,8287
30132,12624
30132,17139
30132,18710
30132,20249
30132,23277
30132,24064
30132,35863
30132,37600
30132,41129
30132,42294
30132,49893
30132,50789
30132,57459
30132,60726
30132,67434
30132,71417
30132,75477
30132,90817
30132,108314
30132,118631
30132,119277
30132,121157
30132,122472
30132,122604
30132,123594
30132,133922
30133,4287
30133,4670
30133,32068
30133,32576
30133,32867
30133,40750
30133,62869
30133,63135
30133,72782
30133,77594
30133,81821
30133,87307
30133,95549
30133,98207
30133,99221
30133,108793
30133,109727
30133,115214
30133,116710
30133,117876
30133,118893
30133,124366
30133,130089
30133,134178
30133,135707
30133,138018
30134,7264
30134,9775
30134,12915
30134,14437
30134,14770
30134,18280
30134,24050
30134,24096
30134,34304
30134,35495
30134,43228
30134,43757
30134,51899
30134,52839
30134,58555
30134,67144
30134,68153
30134,72106
30134,74580
30134,84955
30134,93609
30134,96104
30134,97689
30134,103812
30134,119508
30134,122659
30135,995
30135,1091
30135,4554
30135,21503
30135,27975
30135,33048
30135,43985
30135,45633
30135,46000
30135,60759
30135,63015
30135,69627
30135,114070
30135,120806
30135,123243
30135,125916
30135,127891
30136,3625
30136,11622
30136,11826
30136,17817
30136,22824
30136,37581
30136,39993
30136,46162
30136,49152
30136,56063
30136,64344
30136,65984
30136,71258
30136,75491
30136,81172
30136,83045
30136,83430
30136,83806
30136,85567
30136,85742
30136,89119
30136,97099
30136,109185
30136,110813
30136,116696
30136,125069
30136,127808
30136,129278
30136,130729
30136,134162
30136,137826
30136,139893
30139,6375
30139,7056
30139,10636
30139,11640
30139,20737
30139,33353
30139,36202
30139,39505
30139,42574
30139,43625
30139,49341
30139,62649
30139,67173
30139,69423
30139,78034
30139,84960
30139,94032
30139,94068
30139,94465
30139,102610
30139,107280
30139,107535
30139,112408
30139,121775
30139,129759
30139,135426
30139,136598
30140,5979
30140,6969
30140,13358
30140,15518
30140,16764
30140,17126
30140,23372
30140,38193
30140,49783
30140,52571
30140,58887
30140,60510
30140,61102
30140,65508
30140,68960
30140,70933
30140,85222
30140,88748
30140,105546
30140,112316
30140,115368
30140,127474
30140,128495
30140,131136
30140,135212
30140,137231
30142,12407
30142,17179
30142,26036
30142,28204
30142,28216
30142,37317
30142,37544
30142,40756
30142,44129
30142,47747
30142,50029
30142,50049
